cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_fold_4,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_fold_4,cummulativecoverage_avg,cummulativecoverage_std,numEpochs,numFactors,learningRate,seed
0.8538501683715047,0.8542487796609667,0.8540528875760287,0.8543187317313081,0.8542505773520134,0.8541442289383643,1.7175967214840614E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,10,1.0,4815162342
0.37620274890600086,0.3753518981074928,0.3758965007216405,0.37628382683855893,0.37589767498797727,0.37592652991233405,3.273817637072969E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,4,0.01,4815162342
0.3445805001636138,0.34335217211302377,0.34370185119903707,0.34368471490891306,0.34434286639768924,0.34393242095645543,4.5600033734843827E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,2,0.01,4815162342
0.8532365249778804,0.8535884717016644,0.8534268605519765,0.8536710087916913,0.8536147408779781,0.8535075213802381,1.579381703357283E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,6,1.0,4815162342
0.2001924120210282,0.19907728805577826,0.19885420433606402,0.19901145926533836,0.1993006991096039,0.19928721255756254,4.747993787383539E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,8,0.01,4815162342
0.8524753099928875,0.8528195241287346,0.8526443889517895,0.8529009786695372,0.8528519472961972,0.8527384298078292,1.5745498474846895E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,8,1.0,4815162342
0.44089032040722514,0.44025186937408706,0.4400499877136867,0.4397172037314988,0.44057237267130334,0.44029635077956025,4.0671185432627273E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,6,0.01,4815162342
0.860988939881196,0.8614391110695174,0.861246436350495,0.8614946522938006,0.8613973496467078,0.8613132978483435,1.8191297758220345E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,2,1.0,4815162342
0.8561422924312303,0.856519644868526,0.8563559598783611,0.8566043004649805,0.8565273862539652,0.8564299167794125,1.6502029397512307E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,10,0.1,4815162342
0.8593737183229645,0.8597764246533522,0.8596165359029554,0.8598839155564002,0.8597474430169885,0.8596796074905321,1.750789624367057E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,4,1.0,4815162342
0.8574646530578742,0.8579111428815814,0.8577135027169929,0.8579570524059426,0.8578652839518318,0.8577823270028446,1.7869407943398317E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,8,0.1,4815162342
0.8505281857027085,0.8508248983312807,0.8507403374335534,0.8509443949802936,0.850837304291366,0.8507750241478405,1.3941672459247048E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,8,1.0,4815162342
