cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_fold_4,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_fold_4,cummulativecoverage_avg,cummulativecoverage_std,numIters,numFactors,regularization,learningRate,scores,seed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,8,0.001,5.0E-4,[D@567d299b,4815162342
0.8708469584220828,0.8711958303291741,0.8713287161058066,0.871110535573861,0.8710741411017711,0.8711112363065391,1.585389272139721E-4,0.772155907104141,0.7747797914752695,0.7739766830364013,0.7738868950913976,0.7731106171211525,0.7735819787656724,8.876241206778323E-4,25,4,1.0E-4,2.0E-4,[D@567d299b,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,6,0.001,5.0E-4,[D@567d299b,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,10,1.0E-4,3.0E-4,[D@567d299b,4815162342
0.8717005173606602,0.8719304977029854,0.8724506225115649,0.8720189489172486,0.8722731013059395,0.8720747375596798,2.625246423182559E-4,0.745503679485524,0.7467393633156257,0.7465547871167428,0.7469135011684858,0.7466415828188833,0.7464705827810523,4.979263077370048E-4,25,2,0.001,3.0E-4,[D@567d299b,4815162342
0.869368531617213,0.8699218365015374,0.8698924079407316,0.8698659756468459,0.8696788152014526,0.8697455133815561,2.067573018736988E-4,0.880572992814702,0.8819031269898014,0.8832718540714956,0.881865024013452,0.8816387877321109,0.8818503571243124,8.602411911056907E-4,25,10,1.0E-4,2.0E-4,[D@567d299b,4815162342
0.8698372591789786,0.8703081175846905,0.8704446560609427,0.8702612793686585,0.8701765954179368,0.8702055815222414,2.0360455399753144E-4,0.8394264359138812,0.8407672689701323,0.840562566748093,0.8406127242819385,0.8390866889136422,0.8400911369655375,6.931373937650839E-4,25,4,0.001,3.0E-4,[D@567d299b,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,10,0.001,5.0E-4,[D@567d299b,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,6,1.0E-4,5.0E-4,[D@567d299b,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,8,1.0E-4,5.0E-4,[D@567d299b,4815162342
0.8699889759106036,0.8706455421763782,0.8705455367380736,0.8703560905014434,0.8704785457367635,0.8704029382126525,2.2736183317919554E-4,0.81359710578366,0.8146706362950187,0.8144466407480034,0.8145158499963233,0.8139979100422475,0.8142456285730505,3.939551636086396E-4,25,2,1.0E-4,4.0E-4,[D@567d299b,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,10,1.0E-4,5.0E-4,[D@567d299b,4815162342
0.8676999672866962,0.8682372313431121,0.8685307292016943,0.8679515686271226,0.8681910526857983,0.8681221098288848,2.800944482907701E-4,0.9197645691459837,0.92215358583859,0.9213077767421298,0.9219737997793573,0.9217243848624063,0.9213848232736934,8.584114263365743E-4,25,6,1.0E-4,4.0E-4,[D@567d299b,4815162342
0.8722050819113489,0.872793733266928,0.872791120025861,0.872631136687243,0.8725954728036482,0.8726033089390057,2.14920907850341E-4,0.7529697911917071,0.7552982365061339,0.7552976276709897,0.7561684552762452,0.7541327428216368,0.7547733706933426,0.001109945366423705,100,8,0.1,1.0E-4,[D@567d299b,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2,1.0E-4,5.0E-4,[D@567d299b,4815162342
0.8753572151186724,0.8757970233170675,0.8756811785586144,0.875440750163489,0.8755868680762571,0.8755726070468202,1.5882930011724112E-4,0.6880476977204131,0.6895325085649451,0.6897818872224941,0.6898915007122596,0.6885277595264616,0.6891562707493147,7.345031628925905E-4,100,6,0.1,1.0E-4,[D@567d299b,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,4,0.001,5.0E-4,[D@567d299b,4815162342
