cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_fold_4,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_fold_4,cummulativecoverage_avg,cummulativecoverage_std,numIters,numFactors,learningRate,regularization,scores,seed
0.7395522782495217,0.7414824086344537,0.7378207944593989,0.7387534876336169,0.7402043542455244,0.7395626646445032,0.0012478917889715319,0.5754438200735724,0.5742554528583713,0.5744597408283224,0.5773831018434494,0.5765812066234389,0.5756246644454308,0.001205949179006044,100,8,0.002,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,6,0.004,0.05,[D@7cef4e59,4815162342
0.7495964942362021,0.7496347188979672,0.744298515224782,0.7481321298400341,0.7467774747261415,0.7476878665850254,0.0019973472036128345,0.6084707352173522,0.6084553966663241,0.6093480079478706,0.6103217690340148,0.6107408811458959,0.6094673580022916,9.363168870494498E-4,100,10,0.002,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,8,0.004,0.05,[D@7cef4e59,4815162342
0.8079871996342873,0.8102991404020843,0.807834510343436,0.8066901092980056,0.8090273103013255,0.8083676539958276,0.0012172863317583724,0.7331492911815847,0.7313507711682912,0.7320968864785713,0.7340856907958684,0.732277154113578,0.7325919587475788,9.409144477782062E-4,50,2,0.001,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,10,0.004,0.05,[D@7cef4e59,4815162342
0.7942070877396831,0.7997142125141532,0.7981048198589794,0.798026087714952,0.7981434260736733,0.7976391267802881,0.0018278839878358405,0.840238709711122,0.8395714204212131,0.8402737499972748,0.8398094325755798,0.8396912144547352,0.8399169054319848,2.873126389811843E-4,50,4,0.001,0.1,[D@7cef4e59,4815162342
0.7933443502451325,0.7957425976581642,0.7943029169252647,0.7932657288017392,0.7941616557646318,0.7941634498789865,8.933072625966626E-4,0.8850585606276576,0.8818234303778076,0.8835586240191179,0.8837296627086805,0.8820593881738511,0.883245933181423,0.001187332418124727,50,6,0.001,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2,0.004,0.2,[D@7cef4e59,4815162342
0.7914298670898331,0.793300791798659,0.7912536802892651,0.790257269306395,0.7916635305846341,0.7915810278137573,9.845544599492598E-4,0.9074415857586036,0.9072417029611191,0.908003528830282,0.906492440503175,0.9065080239082899,0.9071374563922939,5.771783494798998E-4,50,8,0.001,0.1,[D@7cef4e59,4815162342
0.7894308715423046,0.7912261961435808,0.7898606902973887,0.7891122615653157,0.7901283952029273,0.7899516829503034,7.266035435127529E-4,0.9236287119957525,0.9225216569921836,0.9261703489848643,0.9244794074369596,0.9223629747010486,0.9238326200221616,0.0014002407351646818,50,10,0.001,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,4,0.004,0.2,[D@7cef4e59,4815162342
0.7966946342288603,0.7984870553886689,0.7960628887600079,0.7962879449910529,0.7967735580417846,0.796861216282075,8.537860567699784E-4,0.8156600227735084,0.8129093862931935,0.8147680399451074,0.8167297854025897,0.8145260101284142,0.8149186489085627,0.0012683718016962128,75,2,0.001,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,6,0.004,0.2,[D@7cef4e59,4815162342
0.7934720168247552,0.795071113403275,0.792830600153166,0.792545659374377,0.7925102500447369,0.793285927960062,9.569235446189204E-4,0.8906082294091818,0.8900955709920475,0.8926131571789951,0.8894462793375493,0.8894015293030232,0.8904329532441594,0.0011777264928558389,75,4,0.001,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,8,0.004,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,6,0.002,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,6,0.004,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,10,0.004,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,8,0.004,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,8,0.002,0.05,[D@7cef4e59,4815162342
0.7947349664570181,0.7970842765548823,0.7940057969677872,0.7940174506834354,0.7951274571796778,0.7949939895685603,0.0011299875283472265,0.8994345421823499,0.8960914086487115,0.8991581867098285,0.8988457911530937,0.8978961795356782,0.8982852216459325,0.0012133765368507372,50,2,0.001,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2,0.002,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,10,0.002,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,10,0.004,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,4,0.002,0.1,[D@7cef4e59,4815162342
0.7890489866327659,0.7907878900674263,0.7892203229810038,0.787978107474125,0.7893114747655992,0.789269356384184,8.973304134922243E-4,0.9404562974586197,0.9388740039356961,0.9416042422637724,0.9398845426820132,0.9394521505989455,0.9400542473878094,9.325688405191332E-4,50,4,0.001,0.05,[D@7cef4e59,4815162342
0.7660890768847703,0.0,0.0,0.0,0.0,0.15321781537695406,0.3064356307539081,0.3613344801241179,0.0,0.0,0.0,0.0,0.07226689602482358,0.14453379204964717,50,6,0.001,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,6,0.002,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,8,0.001,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,8,0.002,0.1,[D@7cef4e59,4815162342
