cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_fold_4,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_fold_4,cummulativecoverage_avg,cummulativecoverage_std,numIters,numFactors,learningRate,regularization,ratings,seed
0.6622274207358525,0.7128431333810735,0.6437748227073761,0.6656626962481669,0.7319408368592648,0.6832897819863468,0.03333495144377462,0.53840518013141,0.5390645331326743,0.5366448709796258,0.5365644449701091,0.5396450610219173,0.5380648180471473,0.0012553735304528311,100,6,0.5,1.0E-4,[D@18e8568,4815162342
0.68907614448669,0.7012526967293116,0.7071806472405031,0.6803880289126734,0.6957896990634679,0.6947374432865292,0.009341788814329535,0.5440644584189613,0.5457030548823908,0.5446574349052218,0.5443989153385468,0.5462471622695363,0.5450142051629314,8.249342549786568E-4,100,8,0.5,1.0E-4,[D@18e8568,4815162342
0.691720681997875,0.7349952757564606,0.7325498794017963,0.7119196959686529,0.7476799187346709,0.7237730903718911,0.01970972224209129,0.5631130386933686,0.5613755055180675,0.5636979059323207,0.5643161181566959,0.5654719976928677,0.5635949131986641,0.0013573624265169888,75,10,0.1,2.5E-4,[D@18e8568,4815162342
0.6745190323859875,0.715736201352256,0.6731049511846753,0.7520663902864003,0.6646131752249584,0.6960079500868556,0.0331774183651889,0.5119490433979199,0.5085740637839793,0.5116859631345082,0.5125299278827357,0.512014078503893,0.5113506153406072,0.0014149752132334274,100,2,0.5,1.0E-4,[D@18e8568,4815162342
0.6263392502601103,0.6783220208468963,0.7496881033172091,0.7140194717981782,0.6934056684261415,0.692354902929707,0.040773868337457525,0.5218102624624487,0.5269446928977687,0.5286454489347799,0.5255588745449711,0.5267443589886861,0.5259407275657308,0.0022880490045006038,100,4,0.5,1.0E-4,[D@18e8568,4815162342
0.7131944119265409,0.7175712398049243,0.8271785451430126,0.7387597176954745,0.7076127134964364,0.7408633256132777,0.044426198443689946,0.559707523121783,0.5593762900139368,0.5595053905509263,0.5590888809340002,0.5610186288382617,0.5597393426917816,6.704068733310946E-4,75,8,0.1,2.5E-4,[D@18e8568,4815162342
0.6887041114603972,0.6585441158494916,0.621836676241106,0.6925561022166428,0.7158274095740986,0.6754936830683472,0.03243089042841556,0.5377975448712091,0.5393976687216577,0.5390126594571218,0.5389731144239518,0.5400487596673177,0.5390459494282516,7.340656557833908E-4,100,8,0.3,7.5E-4,[D@18e8568,4815162342
0.6560484121373001,0.6932382804920652,0.6798440853358844,0.7428777293279536,0.7334077336710858,0.7010832481928577,0.03265710651734635,0.541536755877526,0.543371268458293,0.5434579580824953,0.5437804459408986,0.5441241331568024,0.5432541123032031,8.987274495743904E-4,100,10,0.3,7.5E-4,[D@18e8568,4815162342
0.743197682940436,0.7192970326062278,0.6798537241607412,0.6581279577634455,0.68328705961428,0.6967526914170261,0.03041102741194684,0.535690120171091,0.5366445462098977,0.5377271563647523,0.536897837193716,0.5378174237795376,0.536955416743799,7.796883329324004E-4,25,4,0.1,0.001,[D@18e8568,4815162342
0.6683925151833777,0.6484974144776003,0.767881895292225,0.6759614051824855,0.7197119431075242,0.6960890346486426,0.042777184601997836,0.5272380259113109,0.5318415206498927,0.5308045778079028,0.5291628130312201,0.5323940478731641,0.5302881970546981,0.0018806437274270795,25,4,0.4,2.5E-4,[D@18e8568,4815162342
