cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_fold_4,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_fold_4,cummulativecoverage_avg,cummulativecoverage_std,numIters,numFactors,learningRate,regularization,scores,seed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,8,0.004,0.05,[D@3a4afd8d,4815162342
0.7490502432942008,0.7861031808694872,0.8044856582369302,0.7882547771468457,0.7529562450777293,0.7761700209250386,0.021544586529503425,0.4933527243158928,0.49262939674183326,0.49311449856509443,0.49291152003984184,0.49322091789561984,0.4930458115116564,2.5338156458115305E-4,25,2,0.003,0.15,[D@3a4afd8d,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,10,0.004,0.05,[D@3a4afd8d,4815162342
0.8271255427016561,0.8114070321484415,0.8206766650949868,0.8274789284953423,0.8262387337964788,0.822585380447381,0.006107463327357509,0.552263879709041,0.5524751243480434,0.5523199403898276,0.5512779800560516,0.5545364168302506,0.5525746682666428,0.0010678241945935294,25,4,0.003,0.15,[D@3a4afd8d,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,4,0.004,0.05,[D@3a4afd8d,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,6,0.004,0.05,[D@3a4afd8d,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2,0.004,0.05,[D@3a4afd8d,4815162342
0.7547888158855642,0.7604456599753258,0.7583327070205034,0.7522206835452528,0.7630208810680323,0.7577617494989357,0.003865994800057474,0.8497710933436886,0.8479602151045312,0.8472258255772848,0.8447059079089357,0.846071124074944,0.847146833201877,0.0017128828108382904,100,8,0.001,0.05,[D@3a4afd8d,4815162342
0.681914567535113,0.6822276336200845,0.6904298865158097,0.6789900431141906,0.6972783562076227,0.6861680973985641,0.0067341656006119814,0.8798597020053016,0.8594010281428854,0.8594009793104955,0.877601883086906,0.863256604334711,0.86790403937606,0.00897984325606955,100,8,0.002,0.1,[D@3a4afd8d,4815162342
0.7399266670337721,0.7402318551902523,0.7327226953056886,0.7304625707540382,0.7338844419829973,0.7354456460533496,0.003941324784669152,0.8738837269734424,0.869050485061415,0.8703276038167151,0.8699936265998137,0.870714371109706,0.8707939627122185,0.0016401658967441413,100,10,0.001,0.05,[D@3a4afd8d,4815162342
0.6700267439060482,0.663838203337028,0.6677602332593234,0.6595663328965643,0.6671558373382923,0.6656694701474513,0.0036378079899151766,0.9102160430416592,0.9061394380870992,0.9046468742361159,0.9057775778296061,0.9037352745533845,0.9061030415495729,0.002224894442794161,100,10,0.002,0.1,[D@3a4afd8d,4815162342
0.7305006726998873,0.7501314799358205,0.7526995638071561,0.7419136033100956,0.7460865059679596,0.7442663651441838,0.007795653924405738,0.7774513421749647,0.73352039234122,0.7396498720260584,0.7456215035088076,0.7482202052003848,0.748892663050287,0.015155769398631062,100,4,0.002,0.1,[D@3a4afd8d,4815162342
0.7809027069862289,0.782519225372166,0.784805120349495,0.782395533180068,0.7798141620433922,0.7820873495862701,0.0016875148259080529,0.7751186273730541,0.7721794053520569,0.7756859526994854,0.7686157491907837,0.7734601032108,0.773011967565236,0.0025222582514712504,100,4,0.001,0.05,[D@3a4afd8d,4815162342
