cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_avg,cummulativecoverage_std,numIters,numFactors,learningRate,regularization,ratings,seed
0.6916462033380153,0.7241576606257977,0.7236843281368865,0.699512068503805,0.7097500651511262,0.01444220274245657,0.4339778035245686,0.4334007700624233,0.43380515624118987,0.4328889901480235,0.43351817999405134,4.193071996210833E-4,25,4,0.001,0.01,[D@368102c8,4815162342
0.7499804653829301,0.7258591396669231,0.7189115518260814,0.7519056153987504,0.7366641930686713,0.014504564049757463,0.4403187262993468,0.4411272977541902,0.44134570048266464,0.4406630046815905,0.44086368230444806,3.997133927220997E-4,25,6,0.001,0.01,[D@368102c8,4815162342
0.6403464147014353,0.6105180581902354,0.6695994883342269,0.6319034794486914,0.6380918601686473,0.02119212271246991,0.42254576197506677,0.42260283744136534,0.42331394827155566,0.4234156435470801,0.422969547808767,3.9739275689015254E-4,25,2,0.001,0.01,[D@368102c8,4815162342
0.769798616604374,0.7490925668221509,0.7399979786175577,0.7380077754945186,0.7492242343846502,0.012592212728350424,0.4461523307898074,0.4465690536107789,0.4465427690956336,0.4455083772061096,0.44619313267558236,4.28403146172209E-4,25,8,0.001,0.01,[D@368102c8,4815162342
0.772041889345308,0.7655691338094068,0.7566338206365106,0.760742380938545,0.7637468061824426,0.005739129225798486,0.4517326708840375,0.4527336844398063,0.4522185148961295,0.451174856635138,0.45196493171377783,5.77375291094803E-4,25,10,0.001,0.01,[D@368102c8,4815162342
0.540348809034124,0.5500417170389972,0.554967678687531,0.5475164036722043,0.5482186521082142,0.005274952805164716,0.3675391156433113,0.3684192246227547,0.3672137244388326,0.36930870827179707,0.3681201932441739,8.156783387989332E-4,75,6,1.0,0.01,[D@368102c8,4815162342
0.5406476241956991,0.5498765979502324,0.5551883470072332,0.5478620973362734,0.5483936666223596,0.005211777672668575,0.36718374089780437,0.368166686240098,0.3670544264488944,0.36905216088632953,0.36786425361828157,8.095533915729146E-4,75,8,1.0,0.01,[D@368102c8,4815162342
0.5438613357655001,0.5583004034315303,0.5700828284678855,0.5692073571284065,0.5603629811983306,0.010597841119432468,0.3759423201351202,0.3762189319305535,0.37553395176816834,0.3773367321808189,0.3762579840036653,6.687841673645889E-4,75,2,1.0,0.01,[D@368102c8,4815162342
0.5398379543615514,0.5482156768221766,0.555102810132158,0.5473496734397865,0.5476265286889181,0.0054078743195303544,0.36718171849160686,0.3679919648957566,0.3672967008681427,0.36924912791415554,0.3679298780424154,8.223337292319624E-4,50,10,1.0,0.01,[D@368102c8,4815162342
0.5424508955160594,0.5507612514146079,0.559880931528921,0.5675836956333352,0.5551691935232309,0.009453906540529211,0.3685385437934495,0.3693294120079908,0.3693333023974,0.370521092919844,0.369430587779671,7.079274179738138E-4,75,4,1.0,0.01,[D@368102c8,4815162342
0.5397921116475367,0.5481941624652317,0.5550671685672098,0.5474051668304939,0.547614652377618,0.00541091159523996,0.36696474757348685,0.367714528011529,0.36671446057494805,0.36882228343099716,0.36755400489774026,8.195054868790696E-4,75,10,1.0,0.01,[D@368102c8,4815162342
0.6668047344846925,0.6134052250078488,0.6583279235436533,0.6132792443086587,0.6379542818362133,0.02479388817124988,0.4318425595068059,0.4329656384105279,0.43186226225398183,0.4314979144663418,0.4320420936594143,5.525439154310422E-4,75,10,1.0E-4,1.0E-4,[D@368102c8,4815162342
0.5403946517481386,0.5500632313959422,0.5550033202524792,0.547460910281497,0.5482305284195143,0.005273110673498587,0.36775608656143133,0.36869666150698227,0.36779596473202725,0.36973555275495545,0.3684960663888491,8.084363500072741E-4,50,6,1.0,0.01,[D@368102c8,4815162342
0.5406934669097138,0.5498981123071772,0.5552239885721814,0.5478066039455661,0.5484055429336596,0.005209457955747841,0.3674007118159244,0.3684441231243256,0.36763666674208906,0.3694790053694879,0.36824012676295675,8.132060266714906E-4,50,8,1.0,0.01,[D@368102c8,4815162342
0.5438956889067352,0.5571984689680582,0.567714210695473,0.5655924871195039,0.5586002139224426,0.00935607779061099,0.37614006184704957,0.37640638577487706,0.3759335636566496,0.3776490027688709,0.3765322535118618,6.661860541407126E-4,50,2,1.0,0.01,[D@368102c8,4815162342
0.5399541741803846,0.5507827657715526,0.5589040994245124,0.5657726814509114,0.5538534302068403,0.009620240484633643,0.36873099747367644,0.36960684889221834,0.36988855123603365,0.37092072491555644,0.3697867806293712,7.815434092928304E-4,50,4,1.0,0.01,[D@368102c8,4815162342
0.6587532239743875,0.6558931585724581,0.6658167051358346,0.6594359080462949,0.6599747489322437,0.0036252691235549727,0.4345428191499849,0.43429594591676995,0.43503176444521524,0.43432813467384623,0.43454966604645406,2.940730348636974E-4,100,8,1.0E-4,1.0E-4,[D@368102c8,4815162342
0.7006265408983776,0.7004216935519267,0.6912365585852777,0.6580739018242014,0.6875896737149458,0.0174578148591041,0.4371208173688179,0.43845491951140203,0.4368090727832393,0.43649737434018476,0.437220546000911,7.459744002309549E-4,100,10,1.0E-4,1.0E-4,[D@368102c8,4815162342
0.5311492661079822,0.5774726984612109,0.5794965869653392,0.5413064290865572,0.5573562451552724,0.021443348477449196,0.4286873606934329,0.4287780032630664,0.42880912956228734,0.428718205520173,0.4287481747597399,4.796283338510965E-5,100,4,1.0E-4,1.0E-4,[D@368102c8,4815162342
0.6234237276392329,0.6077556829455688,0.569950794208671,0.6287570964301974,0.6074718253059175,0.022996925363219015,0.43172573622896804,0.43229700097889345,0.4323145213060628,0.4320767380040095,0.4321034991294834,2.3737854345739958E-4,100,6,1.0E-4,1.0E-4,[D@368102c8,4815162342
0.4647121579039954,0.4624865916782429,0.418203680680176,0.41963251724114503,0.4412587368758898,0.022360197725585486,0.42351196071937375,0.42350557783442605,0.4231514967709611,0.42354324797190124,0.42342807082416556,1.6031518442121787E-4,100,2,1.0E-4,1.0E-4,[D@368102c8,4815162342
0.5424508955160594,0.5507612514146079,0.559880931528921,0.5675836956333352,0.5551691935232309,0.009453906540529211,0.3685385437934495,0.3693294120079908,0.3693333023974,0.370521092919844,0.369430587779671,7.079274179738138E-4,25,4,1.0,0.01,[D@368102c8,4815162342
0.540348809034124,0.5500417170389972,0.554967678687531,0.5475164036722043,0.5482186521082142,0.005274952805164716,0.3675391156433113,0.3684192246227547,0.3672137244388326,0.36930870827179707,0.3681201932441739,8.156783387989332E-4,25,6,1.0,0.01,[D@368102c8,4815162342
0.5438613357655001,0.5583004034315303,0.5700828284678855,0.5692073571284065,0.5603629811983306,0.010597841119432468,0.3759423201351202,0.3762189319305535,0.37553395176816834,0.3773367321808189,0.3762579840036653,6.687841673645889E-4,25,2,1.0,0.01,[D@368102c8,4815162342
0.5406476241956991,0.5498765979502324,0.5551883470072332,0.5478620973362734,0.5483936666223596,0.005211777672668575,0.36718374089780437,0.368166686240098,0.3670544264488944,0.36905216088632953,0.36786425361828157,8.095533915729146E-4,25,8,1.0,0.01,[D@368102c8,4815162342
0.5397921116475367,0.5481941624652317,0.5550671685672098,0.5474051668304939,0.547614652377618,0.00541091159523996,0.36696474757348685,0.367714528011529,0.36671446057494805,0.36882228343099716,0.36755400489774026,8.195054868790696E-4,25,10,1.0,0.01,[D@368102c8,4815162342
0.7712742635796436,0.7376378775622561,0.738802033454234,0.7306302913112567,0.7445861164768475,0.015722244530121558,0.474396843209569,0.4739992930307591,0.4788555566514868,0.46880762059346365,0.4740148283713197,0.003559980330269512,100,2,0.001,0.01,[D@368102c8,4815162342
0.774290031056297,0.7755856852513348,0.7581734801524707,0.7618091847796946,0.7674645953099493,0.007596827694815089,0.4934869178069774,0.49126837603361617,0.4914660219634773,0.49582737042855224,0.4930121715581558,0.001842697077735552,100,4,0.001,0.01,[D@368102c8,4815162342
0.7191742353913926,0.7015741537570495,0.7572003012711689,0.7187973787316261,0.7241865172878093,0.02034327100993136,0.4258051479572913,0.42645785680697,0.4276873096309325,0.42694109706455363,0.42672285286493683,6.874250127097193E-4,50,2,0.001,0.01,[D@368102c8,4815162342
0.778573847033467,0.7770374235926897,0.7522455867555023,0.7585382043664809,0.766598765437035,0.011438471776945947,0.4538570906148367,0.4536302417989693,0.45401326382269047,0.4522442053458309,0.45343620039558186,7.015438404743775E-4,50,8,0.001,0.01,[D@368102c8,4815162342
0.7667312403554647,0.7690068605927305,0.7665934412842871,0.7638378620697126,0.7665423510755487,0.0018320997047420792,0.4612036455715082,0.46035277387556084,0.46020829574754596,0.459767635939309,0.460383087783481,5.204726805574244E-4,50,10,0.001,0.01,[D@368102c8,4815162342
0.7293604825165875,0.7594680998042067,0.7614086426958376,0.7470921224014238,0.749332336854514,0.012771691155018782,0.4392926137326915,0.4394369762514912,0.4390574046037767,0.4380175095514041,0.4389511260348409,5.557875388047032E-4,50,4,0.001,0.01,[D@368102c8,4815162342
0.7498021143761957,0.752034187818729,0.7474913402380825,0.7724314776964551,0.7554397800323656,0.009940784891640965,0.4474136780723289,0.44776478472636644,0.44788973220173195,0.44756825131882966,0.44765911157981425,1.8224014292870228E-4,50,6,0.001,0.01,[D@368102c8,4815162342
0.7643420954622658,0.7411329042807464,0.756967596707561,0.7523787495319819,0.7537053364956389,0.00842034541712244,0.4699286543655173,0.4725653373066556,0.47314489675755556,0.47065097434181363,0.4715724656928855,0.0013237820331019562,75,6,0.001,0.01,[D@368102c8,4815162342
0.7755485472414626,0.7750359434432096,0.7714789371168868,0.7763821468454691,0.774611393661757,0.0018712529353359455,0.4808730643910607,0.4782483599165084,0.47914137691299047,0.4777136801120664,0.47899412033315647,0.0011987286006288475,75,8,0.001,0.01,[D@368102c8,4815162342
0.7560058616211887,0.7262599071981476,0.7562930636107359,0.7388170256851867,0.7443439645288146,0.012613098302783786,0.4403484199733484,0.44175976613340573,0.4448394130706051,0.440256242454448,0.4418009604079518,0.0018526952543170111,75,2,0.001,0.01,[D@368102c8,4815162342
0.7448677175694933,0.7458394203854812,0.7482309448269037,0.7588171560037548,0.7494388096964083,0.0055511891439551635,0.4599263522592956,0.45899766872851017,0.457435315776436,0.4580461396354182,0.458601369099915,9.461228619620204E-4,75,4,0.001,0.01,[D@368102c8,4815162342
0.7676243118181707,0.7824769924227718,0.7677921663932169,0.780748481468856,0.7746604880257538,0.006979309113801845,0.48992712180568926,0.4859837044122766,0.48627183726518086,0.48619501326007536,0.48709441918580554,0.0016388611500222218,75,10,0.001,0.01,[D@368102c8,4815162342
0.7932094132295681,0.789846239144356,0.7898172869172755,0.7882055875215364,0.790269631703184,0.0018225305807360278,0.5267072648909356,0.5220854088662022,0.5255051897195658,0.5257069565264437,0.5250012050007868,0.0017438888482327686,100,10,0.001,0.01,[D@368102c8,4815162342
