cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_avg,cummulativecoverage_std,numEpochs,numFactors,learningRate,seed
0.7641275666026236,0.7630129205479222,0.7647188397407418,0.7684958983332759,0.765088806306141,0.002060244814923292,1.0,1.0,1.0,1.0,1.0,0.0,100,10,0.1,4815162342
0.7531108456108412,0.7531574779336966,0.7550574366638717,0.7538880156892964,0.7538034439744264,7.86863180476028E-4,1.0,1.0,1.0,1.0,1.0,0.0,50,10,1.0,4815162342
0.7627951491489258,0.762406749116497,0.7639688908543899,0.7623811319865038,0.7628879802765791,6.452642702937509E-4,1.0,1.0,1.0,1.0,1.0,0.0,100,6,0.1,4815162342
0.7577843937792176,0.7576904313218704,0.7593834679797694,0.7580097856012349,0.7582170196705231,6.833754583649432E-4,1.0,1.0,1.0,1.0,1.0,0.0,50,6,1.0,4815162342
0.7631131547458152,0.7627149672885654,0.7642832844305151,0.7626731743857111,0.7631961452126517,6.507283951583151E-4,1.0,1.0,1.0,1.0,1.0,0.0,100,8,0.1,4815162342
0.7553914560452247,0.7553719894203602,0.7571692981778482,0.7558697714294834,0.7559506287682292,7.312986168837911E-4,1.0,1.0,1.0,1.0,1.0,0.0,50,8,1.0,4815162342
0.16922363051048184,0.17033883308628772,0.1706590763314545,0.1748875728077557,0.17127727818399494,0.0021514267806026235,1.0,1.0,1.0,1.0,1.0,0.0,25,8,0.001,4815162342
0.7551711984587937,0.7551286599745465,0.7569610672956054,0.7556709710589854,0.7557329741969828,7.404128421804277E-4,1.0,1.0,1.0,1.0,1.0,0.0,50,2,1.0,4815162342
0.09931517687021937,0.10163710405893567,0.10132270319243385,0.10536943561218204,0.10191110493344273,0.002186331784118834,1.0,1.0,1.0,1.0,1.0,0.0,25,6,0.001,4815162342
0.7626650780039971,0.762361158647252,0.7638291045716359,0.7623858894464143,0.7628103076673248,6.001883987168913E-4,1.0,1.0,1.0,1.0,1.0,0.0,50,4,1.0,4815162342
0.08102451852029748,0.08373841864229147,0.08334537484953494,0.08746721111555243,0.08389388078191908,0.0023090559053648243,1.0,1.0,1.0,1.0,1.0,0.0,25,10,0.001,4815162342
-0.17168539470131386,-0.16951614442119634,-0.1700574545795901,-0.16501811504851727,-0.16906927718765438,0.0024714454477693898,1.0,1.0,1.0,1.0,1.0,0.0,25,4,0.001,4815162342
0.39573196272039207,0.3976598079517965,0.3975868912352012,0.40154737506966137,0.39813150924426277,0.002118081309962779,1.0,1.0,1.0,1.0,1.0,0.0,25,2,0.001,4815162342
0.578051711091695,0.5792791227889621,0.5798089606970398,0.5823906646449998,0.5798826148056742,0.0015820990762558161,1.0,1.0,1.0,1.0,1.0,0.0,100,2,0.001,4815162342
0.7705605794855125,0.7701430492966314,0.7710589439170243,0.7686904602938603,0.770113258248257,8.83127850173782E-4,1.0,1.0,1.0,1.0,1.0,0.0,50,2,0.01,4815162342
0.37722574583131985,0.37868886848157784,0.37826413436714407,0.38283495176953974,0.37925342511239535,0.0021351953558620003,1.0,1.0,1.0,1.0,1.0,0.0,100,6,0.001,4815162342
0.053932658928009025,0.05500404377237567,0.05492979232081064,0.060493837817338754,0.05609008320963352,0.002577464392663494,1.0,1.0,1.0,1.0,1.0,0.0,100,4,0.001,4815162342
0.7670417199196976,0.7668028948995858,0.7683504593762834,0.7663256801922325,0.7671301885969498,7.502070413134855E-4,1.0,1.0,1.0,1.0,1.0,0.0,50,6,0.01,4815162342
0.6003652793762939,0.6016431655084261,0.6030948475701029,0.6046763204604209,0.602444903228811,0.001610067486826928,1.0,1.0,1.0,1.0,1.0,0.0,50,4,0.01,4815162342
0.7719714728430551,0.7708644317672428,0.7722021357243591,0.7704195493759298,0.7713643974276467,7.438160922210888E-4,1.0,1.0,1.0,1.0,1.0,0.0,50,10,0.01,4815162342
0.7626778494764371,0.7624914017179883,0.7640847897368975,0.762508032930229,0.7629405184653879,6.646618184225641E-4,1.0,1.0,1.0,1.0,1.0,0.0,50,8,0.01,4815162342
0.7493864070448839,0.7496522735214977,0.7516173762024282,0.7505173624727237,0.7502933548103834,8.713138854172073E-4,1.0,1.0,1.0,1.0,1.0,0.0,25,8,1.0,4815162342
0.805960409849804,0.8030754321180081,0.8017558035087726,0.7873282019849123,0.7995299618653743,0.0072069122340067794,1.0,1.0,1.0,1.0,1.0,0.0,100,2,0.1,4815162342
0.7629753256351709,0.7625720134438341,0.7641312151734366,0.7625466839851845,0.7630563095594065,6.434752187376141E-4,1.0,1.0,1.0,1.0,1.0,0.0,100,4,0.1,4815162342
0.7541820591665873,0.7541612189838419,0.7560493884101692,0.754910238087249,0.754825726161962,7.681745494858334E-4,1.0,1.0,1.0,1.0,1.0,0.0,25,10,1.0,4815162342
0.7341704594266019,0.735124881692767,0.7370468245617202,0.7369886944982793,0.735832715044842,0.0012323222194726583,1.0,1.0,1.0,1.0,1.0,0.0,25,4,1.0,4815162342
0.7158724996290344,0.71656466497211,0.7187094261944478,0.7185250049363597,0.717417898932988,0.0012257644115460382,1.0,1.0,1.0,1.0,1.0,0.0,25,6,1.0,4815162342
0.3584750240527337,0.36137663272613785,0.36072218997980104,0.365102585195677,0.3614191079885874,0.0023834393958831576,1.0,1.0,1.0,1.0,1.0,0.0,100,10,0.001,4815162342
0.7182201338770258,0.7194356767632559,0.7211402326702115,0.7213145673332146,0.7200276526609269,0.0012758862868990385,1.0,1.0,1.0,1.0,1.0,0.0,25,2,1.0,4815162342
0.39990718615846477,0.3988521557982128,0.39968465838150685,0.4033654573732272,0.4004523644278529,0.0017272355141796304,1.0,1.0,1.0,1.0,1.0,0.0,100,8,0.001,4815162342
0.27055428210883437,0.27360441315880846,0.27274179649167474,0.2772049712045995,0.27352636574097927,0.002397241100714764,1.0,1.0,1.0,1.0,1.0,0.0,75,10,0.001,4815162342
0.33356659036070396,0.3336455890741608,0.33507888710806033,0.33996049274815265,0.3355628898227694,0.002609330556869085,1.0,1.0,1.0,1.0,1.0,0.0,25,4,0.01,4815162342
0.3350599348992535,0.3344954654121203,0.33514965644439654,0.339422161339946,0.33603180452392906,0.0019734217116455337,1.0,1.0,1.0,1.0,1.0,0.0,75,8,0.001,4815162342
0.75625017379787,0.7563352899325648,0.7576877416169859,0.7560508515777252,0.7565810142312865,6.47254542057013E-4,1.0,1.0,1.0,1.0,1.0,0.0,25,2,0.01,4815162342
0.6616826045040018,0.6618449916512712,0.6639793073413982,0.6643800195248709,0.6629717307553855,0.0012175667677468993,1.0,1.0,1.0,1.0,1.0,0.0,25,8,0.01,4815162342
0.004737049255705061,0.007218261321292881,0.0069999550121132535,0.011038159351561052,0.0074983562351680615,0.0022628455138153972,1.0,1.0,1.0,1.0,1.0,0.0,50,10,1.0E-4,4815162342
0.09382396574416807,0.09536932768764139,0.09554433374533634,0.09958719606601563,0.09608120581079035,0.0021320238310688798,1.0,1.0,1.0,1.0,1.0,0.0,50,8,1.0E-4,4815162342
0.6978338788227483,0.6981506298203654,0.7000115304196429,0.7004726053040443,0.6991171610917002,0.0011421604077160561,1.0,1.0,1.0,1.0,1.0,0.0,25,6,0.01,4815162342
0.5233616161825716,0.5246934579281683,0.5252663439202286,0.528265998642473,0.5253968541683603,0.0017948525613342482,1.0,1.0,1.0,1.0,1.0,0.0,75,2,0.001,4815162342
0.6980291233077207,0.6984670924909281,0.7010087958950594,0.7004375938972399,0.699485651397737,0.0012634377710961438,1.0,1.0,1.0,1.0,1.0,0.0,25,10,0.01,4815162342
0.293028253409495,0.2953126438157236,0.2945599472136614,0.2992209212432187,0.2955304414205247,0.002284178242085353,1.0,1.0,1.0,1.0,1.0,0.0,75,6,0.001,4815162342
-0.010905059837143629,-0.009605486009226727,-0.009844905647321102,-0.004490909138280319,-0.008711590157992943,0.002485402949962033,1.0,1.0,1.0,1.0,1.0,0.0,75,4,0.001,4815162342
