cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_avg,cummulativecoverage_std,numIters,numFactors,learningRate,regularization,scores,seed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,6,0.1,1.0E-4,[D@722c41f4,4815162342
0.7772583467932033,0.7733562115959147,0.772304018363413,0.7776800539550052,0.775149657676884,0.0023539109510200547,0.6019577729658648,0.601021355400391,0.5975966839407172,0.5965383798040985,0.5992785480277679,0.002266760491776117,100,6,1.0E-4,0.1,[D@722c41f4,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,4,0.1,1.0E-4,[D@722c41f4,4815162342
0.7641730692151487,0.7739266370266633,0.7478877170831979,0.7425484520930525,0.7571339688545157,0.012547640308484737,0.5486902819988563,0.5498143913632677,0.5493648463071269,0.5495979120265353,0.5493668579239466,4.21731907332046E-4,100,4,1.0E-4,0.1,[D@722c41f4,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,10,0.1,1.0E-4,[D@722c41f4,4815162342
0.6969370343775609,0.6628794769993808,0.628427654778396,0.6242752708769422,0.65312985925807,0.02939774572501847,0.4908344379083371,0.48901315630482267,0.4877842049947278,0.4904615038731589,0.4895233257702616,0.0012128486248007596,100,2,1.0E-4,0.1,[D@722c41f4,4815162342
0.6652064291960719,0.6447528665211786,0.637322717241569,0.6420423170573353,0.6473310825040386,0.010657317113043876,0.5341091668707512,0.5365680588664112,0.5370101998877723,0.5352560543875012,0.535735870003109,0.0011393903046096805,25,10,1.0E-4,1.0,[D@722c41f4,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,8,0.1,1.0E-4,[D@722c41f4,4815162342
0.6237044679240216,0.60940260497945,0.5975540673111875,0.6122679193982906,0.6107322649032374,0.009301467266359836,0.5160384487497423,0.5174709991151949,0.518316460317375,0.5182250459272326,0.5175127385273861,9.122257224193853E-4,25,8,1.0E-4,1.0,[D@722c41f4,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,8,0.1,1.0E-4,[D@722c41f4,4815162342
0.5780883546932104,0.5623194924889326,0.5853211946643146,0.5706598353112708,0.5740972192894321,0.00855039826890808,0.4990567001641445,0.4985336914003688,0.4986267833732826,0.49817431542471535,0.4985978725906278,3.1419678290514776E-4,25,6,1.0E-4,1.0,[D@722c41f4,4815162342
0.5508722272750237,0.530364407090163,0.5528796444976154,0.5254455381092514,0.5398904542430134,0.012131772117734729,0.4758064204178152,0.475993976680165,0.4766379129626279,0.47698246891783813,0.4763551947446116,4.7566643539058694E-4,25,4,1.0E-4,1.0,[D@722c41f4,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,6,0.1,1.0E-4,[D@722c41f4,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,2,0.1,1.0E-4,[D@722c41f4,4815162342
0.4263301730354149,0.43355629275443913,0.43790519622509816,0.4546136280267614,0.43810132251042844,0.010391245767838151,0.4496968443486808,0.44913154309073566,0.4492860586202254,0.4503911993779534,0.44962641135939885,4.874925921735533E-4,25,2,1.0E-4,1.0,[D@722c41f4,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,10,0.1,1.0E-4,[D@722c41f4,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,6,1.0,0.001,[D@722c41f4,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,8,1.0,0.001,[D@722c41f4,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2,1.0,0.001,[D@722c41f4,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,4,0.1,1.0E-4,[D@722c41f4,4815162342
0.7918153511344389,0.7931664740589776,0.7906112008275444,0.7921673596253469,0.7919400964115769,9.133968961801674E-4,0.6896154125306194,0.6910747986953404,0.6889540456779252,0.6866174886307795,0.6890654363836661,0.0016081718465374342,25,4,0.001,0.001,[D@722c41f4,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,4,1.0,0.001,[D@722c41f4,4815162342
0.7891872761218626,0.7909167633708225,0.7931657896399819,0.7966539277522301,0.7924809392212243,0.0027918504651510082,0.5921116069060466,0.5909020415667029,0.5849888375861273,0.5891062703937308,0.5892771891131519,0.0026969075692574018,25,2,0.001,0.001,[D@722c41f4,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2,0.1,1.0E-4,[D@722c41f4,4815162342
0.7905934909171224,0.7898783180988197,0.7919965843637796,0.7908666241910427,0.7908337543926911,7.622071592822521E-4,0.7875696614184972,0.7915797766190766,0.7904958928487837,0.7863238701374559,0.7889923002559533,0.0021272191456264775,25,8,0.001,0.001,[D@722c41f4,4815162342
