cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_fold_4,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_fold_4,cummulativecoverage_avg,cummulativecoverage_std,numIters,numFactors,gamma,lambda,seed
0.7803558455444014,0.7840110178201559,0.781831122207007,0.7843887264035445,0.7877086831501046,0.7836590790250428,0.002502331606258895,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,2,0.05,1.0E-4,4815162342
0.7736358454802136,0.7763040213587306,0.7747303696703923,0.7822038276013025,0.7713565178693539,0.7756461163959986,0.0036528578382482263,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,4,0.05,1.0E-4,4815162342
0.7642496956871918,0.7670484138391394,0.7633035553634185,0.7657315607982303,0.765655971868937,0.7651978395113834,0.0012966617258332385,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,6,0.05,1.0E-4,4815162342
0.752955406483287,0.7505137966516958,0.7558590269430392,0.7553042086955161,0.7524858234665156,0.7534236524480107,0.0019510806732898696,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,8,0.05,1.0E-4,4815162342
0.7419298765297861,0.7427868733959923,0.7451910599228797,0.7417624717396775,0.7436386422527359,0.7430617847682143,0.0012579017537668097,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,10,0.05,1.0E-4,4815162342
0.7790903328459411,0.7815925728042015,0.7821828339215707,0.7833357581784913,0.7851842919378306,0.782277157937607,0.002010247276083654,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,2,0.05,1.0E-4,4815162342
0.7672927639737206,0.7696387814115105,0.7716266940292024,0.7770266776800175,0.7658537731784246,0.7702877380545752,0.003905308422387466,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,4,0.05,1.0E-4,4815162342
0.7542933199817118,0.7593098146405546,0.7546247534498085,0.7553981788790523,0.7551214557708539,0.7557495045443963,0.0018209459888344464,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,6,0.05,1.0E-4,4815162342
0.7423470236779692,0.7396799115836877,0.7444293668856825,0.7431321393489546,0.740156497078183,0.7419489877148954,0.0017928909849664412,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,8,0.05,1.0E-4,4815162342
0.7277058708112237,0.7318539098027194,0.7333654371416003,0.7287368721980408,0.7300371499608186,0.7303398479828805,0.0020516123489493832,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,10,0.05,1.0E-4,4815162342
0.7781623175870033,0.7804832084234913,0.7817857727556232,0.7833223902843593,0.7835372385394641,0.7814581855179882,0.0019858680735949648,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,2,0.05,1.0E-4,4815162342
0.762201012100575,0.7661879500736593,0.7679779312217669,0.7730317203043269,0.7639093925198118,0.7666616012440279,0.0037418443380827925,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,4,0.05,1.0E-4,4815162342
0.7487405755531558,0.7542181901106273,0.7488533760533488,0.7491404298271491,0.7452068371911598,0.7492318817470881,0.0028794883769016726,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,6,0.05,1.0E-4,4815162342
0.7345175818364763,0.7328195605508857,0.7353869498160309,0.7371392274868737,0.7302864431648429,0.7340299525710219,0.002333483483652477,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,8,0.05,1.0E-4,4815162342
0.7199950553464088,0.7236061038196935,0.7224604134889446,0.7214287122585047,0.7194461274710426,0.7213872824769189,0.0015351139297584621,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,10,0.05,1.0E-4,4815162342
0.7432170993692483,0.7440663726504578,0.7464900302040421,0.7429731748505701,0.7448774577762722,0.7443248269701181,0.0012739174523856767,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,10,0.05,0.001,4815162342
0.753766290574039,0.7513139958417315,0.7567262212158563,0.756158236332973,0.7532999936920448,0.7542529475313289,0.0019763401116163312,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,8,0.05,0.001,4815162342
0.7647970589169806,0.7676947797077653,0.7638732244122587,0.7662944218507475,0.7662276758008635,0.7657774321377231,0.0013216170502521065,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,6,0.05,0.001,4815162342
