cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_avg,cummulativecoverage_std,numIters,numFactors,gamma,lambda,seed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,8,1.0,0.01,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,10,1.0,0.01,4815162342
0.11601900269433363,0.11318010135382302,0.10980117015754653,0.11005749578230639,0.11226444249700239,0.0025432989323560568,1.0,1.0,1.0,1.0,1.0,0.0,50,6,1.0E-4,1.0E-4,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,4,1.0,0.01,4815162342
0.10653687274015188,0.10838982526456534,0.10720707394763807,0.10909333744132556,0.1078067773484202,9.959271595087434E-4,1.0,1.0,1.0,1.0,1.0,0.0,50,4,1.0E-4,1.0E-4,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,6,1.0,0.01,4815162342
0.12890805956430182,0.1288046871288323,0.11661749675013759,0.12405231731792987,0.12459564019030041,0.005006471049638693,1.0,1.0,1.0,1.0,1.0,0.0,50,10,1.0E-4,1.0E-4,4815162342
0.11700280561286724,0.1532820576840861,0.14359390224783342,0.13131903353510876,0.13629944976997388,0.013590281731026804,1.0,1.0,1.0,1.0,1.0,0.0,75,2,1.0E-4,1.0E-4,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2,1.0,0.01,4815162342
0.14375857418006607,0.12989390646835097,0.12883469217031893,0.1373784825440868,0.1349664138407057,0.006050795413591008,1.0,1.0,1.0,1.0,1.0,0.0,50,8,1.0E-4,1.0E-4,4815162342
0.6930984771002832,0.6932769046662098,0.6931764308553625,0.6975042741953188,0.6942640217042936,0.0018718296083702934,1.0,1.0,1.0,1.0,1.0,0.0,100,6,0.01,1.0,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,4,1.0,0.01,4815162342
0.6930772100374397,0.693304359689073,0.6937452591672858,0.697379738363277,0.6943766418142688,0.0017503960143510455,1.0,1.0,1.0,1.0,1.0,0.0,100,8,0.01,1.0,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,6,1.0,0.01,4815162342
0.693055674073198,0.69324348137251,0.693365271664923,0.69761127674383,0.6943189259636153,0.0019040362777909094,1.0,1.0,1.0,1.0,1.0,0.0,100,2,0.01,1.0,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,8,1.0,0.01,4815162342
0.09982516240183138,0.1102018525117448,0.10610328072544917,0.10815510561643348,0.1060713503138647,0.0038864819422998395,1.0,1.0,1.0,1.0,1.0,0.0,50,2,1.0E-4,1.0E-4,4815162342
0.6930703692923473,0.6932732451102013,0.693399363799524,0.6974610413846141,0.6943010048966717,0.0018282191774038803,1.0,1.0,1.0,1.0,1.0,0.0,100,4,0.01,1.0,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,10,1.0,0.01,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,2,1.0,0.01,4815162342
0.6930027810567635,0.6931903313335631,0.6933110235526478,0.6973015311393718,0.6942014167705866,0.0017932185113304503,1.0,1.0,1.0,1.0,1.0,0.0,50,4,0.01,1.0,4815162342
0.6930231067850452,0.6931674839804879,0.693091710904967,0.6973371246496981,0.6941548565800496,0.0018379928619562823,1.0,1.0,1.0,1.0,1.0,0.0,50,6,0.01,1.0,4815162342
0.692961340938495,0.69309413010093,0.6932864405074647,0.6974447883230257,0.6941966749674788,0.0018788575310942051,1.0,1.0,1.0,1.0,1.0,0.0,50,2,0.01,1.0,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,6,1.0,0.01,4815162342
0.6930545794870407,0.6932598172742522,0.693380111841964,0.6974172448225342,0.6942779383564479,0.0018162127490667188,1.0,1.0,1.0,1.0,1.0,0.0,75,4,0.01,1.0,4815162342
0.20530489026023438,0.18313460329263884,0.18497084579608233,0.129389659923699,0.17569999981816364,0.02811725019092739,1.0,1.0,1.0,1.0,1.0,0.0,75,6,1.0E-4,1.0E-4,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,8,1.0,0.01,4815162342
0.14661588582008284,0.1506246043308026,0.15371345126955238,0.1406236200564109,0.14789439036921218,0.004894236734711249,1.0,1.0,1.0,1.0,1.0,0.0,75,4,1.0E-4,1.0E-4,4815162342
