cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_fold_4,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_fold_4,cummulativecoverage_avg,cummulativecoverage_std,numEpochs,numFactors,learningRate,seed
0.7658982667515924,0.764140762994738,0.7663363941472981,0.7646332997347346,0.7670865836457335,0.7656190614548193,0.0010865758764240772,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,10,1.0,4815162342
0.7652933483116434,0.7635498621223179,0.7656918023869895,0.764076284986427,0.7665014280958661,0.7650225451806488,0.0010744801502476054,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,6,1.0,4815162342
0.7644998945439057,0.7627856039035162,0.7648242089081246,0.7633359615144569,0.7657455920300812,0.764238252180017,0.0010590742087091772,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,8,1.0,4815162342
0.7602671942031428,0.7588066942164162,0.7604824427894835,0.7594980497556967,0.7616418454228308,0.760139245277514,9.569521079060292E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,2,1.0,4815162342
0.7637367223716923,0.7624498054419541,0.7640753371498398,0.7626173284899929,0.7649933401033739,0.7635745067113706,9.456612856326053E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,10,0.1,4815162342
0.7588419097361365,0.7574061140252122,0.7590358319302405,0.7581844258076076,0.7603278318457093,0.7587592226689812,9.700699992775897E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,10,1.0,4815162342
0.7679412156035863,0.7660959853833611,0.7684793433996506,0.7665076841485267,0.7690578024456681,0.7676164061961586,0.0011374294653575035,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,4,1.0,4815162342
0.7642086883123235,0.7625396395317344,0.7645684221807942,0.7630824344910015,0.7654504321152105,0.7639699233262128,0.0010431168714194147,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,6,0.1,4815162342
0.7585847574916175,0.7571191372768976,0.7586743183717835,0.757924745591947,0.760033138942044,0.758467219534858,9.612920932060095E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,6,1.0,4815162342
0.8110251602181102,0.791727120793577,0.8036114009989753,0.7980101665570266,0.8035223603609999,0.8015792417857378,0.00643324711057928,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,8,0.1,4815162342
0.76813047046053,0.766337434388531,0.7687446291189659,0.7667078786005,0.7692220879668286,0.767828500107071,0.00112708785120433,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,8,1.0,4815162342
0.7518479835555819,0.7507497144756328,0.7516021874124085,0.751708749001079,0.7535284822016782,0.751887423329276,9.057919405608806E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,2,1.0,4815162342
0.7770508378371079,0.7747041591926656,0.7779151500014863,0.7749109482701754,0.7778213715723824,0.7764804933747635,0.0014000229815972548,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,4,1.0,4815162342
0.7940439693687411,0.7931908347590724,0.791892244069951,0.8012234045581424,0.7968696898068411,0.7954440285125496,0.0033192143054033073,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,4,0.01,4815162342
0.7896646224286209,0.7754685109585887,0.7801456740935913,0.7791398804538459,0.7806704167529892,0.7810178209375271,0.004689776274275731,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,2,0.01,4815162342
0.7922705047270766,0.7869468089453732,0.7872959732477293,0.7878625311835739,0.7863143080508381,0.7881380252309181,0.0021263713641107543,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,8,0.01,4815162342
0.7660229431875792,0.7647161435248766,0.7665791868192237,0.7654042609815871,0.7671411585922163,0.7659727386210966,8.529599295260151E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,6,0.01,4815162342
0.772920534952958,0.7703131362498448,0.7693271970214512,0.7699992039036659,0.7724299749173205,0.7709980094090481,0.0014145605254066488,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,10,0.01,4815162342
0.7741602278080425,0.7714177421101047,0.774461477183181,0.7719887277149047,0.7741654051004988,0.7732387159833464,0.0012713377389974088,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,2,0.01,4815162342
0.7525726125963728,0.7515238207910468,0.7523863066092079,0.752405554136228,0.7542042414304699,0.7526185071126651,8.734144285511845E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,6,0.01,4815162342
0.7736110166566174,0.7727584439813915,0.7744861157265873,0.7741353513088957,0.7758283689223091,0.7741638593191602,0.0010154881977566283,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,4,0.01,4815162342
0.7617916271448403,0.7601232856986263,0.7616993118895883,0.7607228525721089,0.7630586496651562,0.761479145394064,0.0010051155375350098,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,10,0.01,4815162342
0.7718087268984563,0.7649929203275997,0.767837459967839,0.7670238004969335,0.7680823083843606,0.7679490432150379,0.0022145927470077708,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,2,0.01,4815162342
0.7745550989146596,0.7722728090459277,0.7747195808930233,0.7724547168994952,0.7753473862547292,0.7738699184015669,0.0012591952610595616,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,8,0.01,4815162342
0.7809532088837918,0.7785324087529797,0.7821092150782132,0.7784376740562134,0.7815760723304028,0.7803217158203202,0.0015439287866155357,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,8,1.0,4815162342
