cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_fold_4,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_fold_4,cummulativecoverage_avg,cummulativecoverage_std,numIters,numFactors,gamma,lambda,seed
0.8414270060904104,0.8422898462235416,0.8415916877433381,0.8415903382243528,0.8414392926188573,0.8416676341801,3.190398405133488E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,10,0.01,0.01,4815162342
0.8188038991962486,0.8187035128134191,0.8193256174521637,0.8171704324426577,0.8182252355116105,0.8184457394832199,7.271782118895478E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,8,0.04,0.01,4815162342
0.834375602087726,0.8345990078289112,0.8338019950478186,0.8340569747026708,0.8337814331389138,0.8341230025612081,3.2076867293427864E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,10,0.02,0.01,4815162342
0.846269789817545,0.8468287112104783,0.8466496110080033,0.8469540609955704,0.8465422089066805,0.8466488763876555,2.3688112090693275E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,8,0.01,0.1,4815162342
0.8471852129915629,0.8469816478260614,0.8467162726806865,0.8472296546154247,0.8465964871479729,0.8469418550523417,2.5052007332856567E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,10,0.01,0.1,4815162342
0.8230085254234659,0.821539336188659,0.8221872629560013,0.8221430088115096,0.8226041751949554,0.8222964617149182,4.920230758519535E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,10,0.03,0.01,4815162342
0.8241619674568293,0.8232929158509741,0.8235155380682019,0.8234422944328772,0.8239203107287993,0.8236666053075364,3.232740598831602E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,10,0.03,0.01,4815162342
0.8241248134382946,0.8240234406253827,0.8240854458487037,0.822870696523349,0.8246590098453591,0.8239526812562177,5.86831125869892E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,6,0.04,0.01,4815162342
0.8388526925093367,0.8403034282767693,0.8396443108687173,0.8394872319780587,0.8365257111063636,0.8389626749478492,0.0013029425157741548,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,2,0.02,0.01,4815162342
0.8148395514177751,0.8144663399605372,0.8150856341820565,0.8145638546468824,0.8144881784477265,0.8146887117309956,2.3897788044614728E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,10,0.04,0.01,4815162342
0.8356972213270234,0.8363100368223054,0.8360110063204506,0.8351804466880007,0.8344185813383659,0.8355234584992293,6.670850770139819E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,2,0.03,0.01,4815162342
0.8281908186754974,0.8277246478153105,0.8295313992004865,0.827434370249859,0.8282555961857504,0.8282273664253808,7.18916277635309E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,4,0.04,0.01,4815162342
0.8375256046275495,0.8375571944259456,0.837183272929459,0.8371054034123124,0.8375671260075077,0.8373877202805549,2.0070950522077896E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,6,0.02,0.01,4815162342
0.8451019647111417,0.8458336648634679,0.8455900051213805,0.8443722111769608,0.844983942223102,0.8451763576192105,5.084027064086212E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,4,0.01,0.01,4815162342
0.8306982450826867,0.831104060432941,0.8307839493928787,0.8304021987028383,0.831255978542439,0.8308488864307566,3.024160444468521E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,6,0.03,0.01,4815162342
0.8164496708731986,0.816990486677684,0.8173446141696387,0.8165676328973417,0.8171314486157267,0.8168967706467181,3.38422850932275E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,10,0.04,0.01,4815162342
0.842544068545263,0.8421852164659441,0.842092487775116,0.8424593653035938,0.8415300636024126,0.8421622403384659,3.5752392158929603E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,8,0.02,0.1,4815162342
0.8443965980131469,0.8450453951966768,0.8444930166180232,0.8450522169215812,0.8431591745559882,0.8444292802610832,6.907889187725601E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,2,0.01,0.01,4815162342
0.834608050500995,0.8349151514153065,0.8355055488103528,0.8338911290745536,0.8341682425794859,0.8346176244761387,5.66879744105156E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,4,0.03,0.01,4815162342
0.8320357679126079,0.8308511583451887,0.8311316495200173,0.8316678901868121,0.8312952492623916,0.8313963430454037,4.147555867013366E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,10,0.02,0.01,4815162342
0.842991583479119,0.841984983538112,0.8417858798966078,0.8425780495340406,0.8415606398016953,0.842180227249915,5.280303113393016E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,10,0.02,0.1,4815162342
0.8350921878638123,0.8363459105777004,0.8360062274870973,0.8362770123935735,0.8355874856233041,0.8358617647890976,4.6801172922866953E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,8,0.02,0.01,4815162342
0.8293854357228173,0.8313906008533253,0.8310205695656426,0.8281844492445565,0.8266735484969379,0.8293309207766558,0.0017593289251664306,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,2,0.04,0.01,4815162342
