cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_fold_4,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_fold_4,cummulativecoverage_avg,cummulativecoverage_std,numIters,numFactors,gamma,lambda,seed
0.8423507582181421,0.8426152508101148,0.8414739756586835,0.8419556775356967,0.8426015499687589,0.8421994424382792,4.3432865653109885E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,10,0.01,0.01,4815162342
0.8284374560382556,0.8286734506957706,0.8278359556814149,0.827395478601477,0.8280602825489553,0.8280805247131747,4.4910424698986213E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,8,0.04,0.01,4815162342
0.8382567166109955,0.8384706596201557,0.8379262137211996,0.8380759795482597,0.8388705454331898,0.8383200229867601,3.2997484572996606E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,10,0.02,0.01,4815162342
0.850210214233006,0.8503938054760286,0.8503393213861224,0.8501103531195393,0.8501385584399875,0.8502384505309368,1.1090063440048744E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,8,0.01,0.1,4815162342
0.8503088800295723,0.8505690276124108,0.8502471192077463,0.8502827565784435,0.8506691889189476,0.8504153944694242,1.7045202547717736E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,10,0.01,0.1,4815162342
0.8288989904501246,0.8290668851577125,0.8288018371909597,0.8289355593466537,0.8288750981859125,0.8289156740662726,8.734277056067354E-5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,10,0.03,0.01,4815162342
0.830511520668921,0.8307170484882896,0.8304418165582612,0.8305264574498619,0.8305001500715034,0.8305393986473675,9.334541989462442E-5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,10,0.03,0.01,4815162342
0.8339834902100158,0.8340914553846543,0.8345030191717212,0.8334500386724047,0.8339565843556916,0.8339969175588976,3.364401344881361E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,6,0.04,0.01,4815162342
0.8453133899719929,0.8444078129284814,0.844210240437393,0.8449660583196524,0.8450225628776915,0.8447840129070423,4.101287525744768E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,2,0.02,0.01,4815162342
0.8253262860220149,0.8258217688547852,0.8254382536680379,0.8253154832387973,0.8251097576492212,0.8254023098865713,2.350076967954371E-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,10,0.04,0.01,4815162342
