cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_fold_4,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_fold_4,cummulativecoverage_avg,cummulativecoverage_std,numIters,numFactors,learningRate,regularization,ratings,seed
0.8956681881562972,0.8750458958767121,0.8636193388124405,0.8636216732847315,0.8897405739129087,0.877539134008618,0.013200078694571057,0.33417145575872714,0.33377693171507555,0.3341505152265759,0.33365147746731094,0.3336332112256405,0.33387671827866605,2.374116328589715E-4,75,10,0.2,2.5E-4,[D@394df057,4815162342
0.8139438824490433,0.8986364416129182,0.898553774333234,0.8913248984151597,0.8604811145902111,0.8725880222801132,0.03252544636760507,0.32491183031160503,0.3243431651971249,0.32441487693678783,0.3253143711112727,0.3232712959580179,0.32445110790296167,6.873731214900462E-4,100,2,0.5,5.0E-4,[D@394df057,4815162342
0.9101437986678526,0.902249742668604,0.8792007813549177,0.8554581115350901,0.8917601529488639,0.8877625174350656,0.01920239828534984,0.3353830996931331,0.3348482048641684,0.3352028865806665,0.3352388350164321,0.3345643321355395,0.3350474716579879,2.9884811004671403E-4,25,6,0.2,1.0E-4,[D@394df057,4815162342
0.8705149400389849,0.8942178644293604,0.8889394940132899,0.8986796547484768,0.8972702875476983,0.8899244481555619,0.010263991057572572,0.33651868429692006,0.3361052834579103,0.3364612721394615,0.3364816155517166,0.3358196976300113,0.3362773106152039,2.7307383279224573E-4,25,8,0.2,1.0E-4,[D@394df057,4815162342
0.8792691312999693,0.8970893353920146,0.8938997474667466,0.8875745797586482,0.8810461667849027,0.8877757921404562,0.006956098608283602,0.33256967519011676,0.33210576449075735,0.33221039546914793,0.33181085406410227,0.33016665069865225,0.33177266798255534,8.388717206127832E-4,50,10,0.4,2.5E-4,[D@394df057,4815162342
0.8959763567664576,0.8952206580022176,0.8964520006874959,0.9050886808292918,0.911790863895676,0.9009057120362277,0.006518246488896324,0.33780092584248295,0.3377738632587476,0.3378790465410257,0.33814142859419455,0.3374923967113449,0.3378175321895592,2.081291530983278E-4,50,10,0.1,0.001,[D@394df057,4815162342
0.8827539113897633,0.8811445513276009,0.8918031818586429,0.8807536318376566,0.8576769418569264,0.8788264436541182,0.01131556309684456,0.325006710968199,0.3250435878857733,0.32491970429753525,0.32513806938568435,0.32406498957397023,0.32483461242223244,3.9113545949278565E-4,75,2,0.4,2.5E-4,[D@394df057,4815162342
0.8604929169535529,0.8980274603319119,0.8978176562165547,0.9061624794643722,0.900247969519572,0.8925496964971927,0.016309295990826384,0.3304194556916033,0.3291605999973459,0.3297128285626405,0.329326956067048,0.32745864451549983,0.3292156969668275,9.796757087091573E-4,100,6,0.5,5.0E-4,[D@394df057,4815162342
0.8207749974804079,0.8876693727332925,0.8665368547279659,0.8824744783699021,0.8260817700374705,0.8567074946698078,0.028100786554450446,0.32593589815175167,0.32594074431311615,0.3261382426395249,0.3272939306198344,0.32511373406404,0.3260845099576534,7.001064782209899E-4,25,2,0.4,1.0E-4,[D@394df057,4815162342
0.8222390621568013,0.8692788950610819,0.8634686179550489,0.8493831901559094,0.8706633189026957,0.8550066168463074,0.01803203413682902,0.3393552585644155,0.33913853221389856,0.3395597385511418,0.3393873804035821,0.3390237475027908,0.33929293144716577,1.8988966522043212E-4,100,10,0.1,1.0E-4,[D@394df057,4815162342
0.8662777989505289,0.890693122412987,0.9048685347877389,0.8962905297268136,0.8833567040558837,0.8882973379867904,0.01306526252039365,0.32736318586430363,0.3271179940384343,0.32783134575564066,0.32728947234920674,0.32552209602837945,0.3270248188071929,7.87639112143678E-4,75,4,0.4,2.5E-4,[D@394df057,4815162342
0.8689758873248352,0.8733625500563995,0.9014876714720419,0.8928649143068911,0.9040614137426928,0.8881504873805721,0.014419516330552178,0.3306439031615038,0.331451558252219,0.33036799774136577,0.33007895917950913,0.32887863804826617,0.3302842112765728,8.386729885717592E-4,100,8,0.5,5.0E-4,[D@394df057,4815162342
0.9104761497532919,0.8907959063864112,0.8777638063827414,0.9110996258499512,0.9013376812868782,0.8982946339318547,0.012644074324264152,0.3358181388979125,0.33520887151004425,0.3356808358093412,0.3359974883987145,0.3354315290240532,0.33562737272801313,2.791894224945093E-4,75,6,0.1,0.001,[D@394df057,4815162342
0.8416568042430455,0.898726540427068,0.8766377269983553,0.7880076749897496,0.8964940954977869,0.8603045684312012,0.04153861283344881,0.3298680184756092,0.32903259152227754,0.3293838763748349,0.3291768178890716,0.3281756667636128,0.32912739420508125,5.534478811137713E-4,75,6,0.4,2.5E-4,[D@394df057,4815162342
0.8975634780641769,0.899649083859303,0.8648897290477462,0.8946219375182133,0.876426910768283,0.8866302278515444,0.013635622194081454,0.33087663325848143,0.3308598332217706,0.3302739820171523,0.33014817202536534,0.3296211098861043,0.3303559460817748,4.722054185867857E-4,75,8,0.4,2.5E-4,[D@394df057,4815162342
0.868076264576701,0.906970217417856,0.8917199447310838,0.9080786231451423,0.9058348058914982,0.8961359711524561,0.015237609041609701,0.3372465507596973,0.33711077004131157,0.337229913537819,0.3372943987011706,0.3369600804541847,0.33716834269883666,1.2040378579012178E-4,75,8,0.1,0.001,[D@394df057,4815162342
0.8843056834238239,0.87529991130611,0.8625213615673436,0.8951027634204228,0.8911635450341494,0.88167865295037,0.011702660953475268,0.3367940291797923,0.33601828158466207,0.3369799880710894,0.33686615683359894,0.3362601952156694,0.3365837301769624,3.756109123391916E-4,100,6,0.1,1.0E-4,[D@394df057,4815162342
0.902914995051076,0.8966571951950855,0.8886535846356535,0.9121627321921866,0.9068817550159817,0.9014540524179966,0.008162498956070591,0.33614469465776575,0.335577218560459,0.3360165696427023,0.33620548769903896,0.3357557819412969,0.3359399505002526,2.3824071239779255E-4,50,6,0.1,5.0E-4,[D@394df057,4815162342
0.899435156000232,0.8971120512551827,0.8570007853132634,0.8949185534850653,0.9003625092570385,0.8897658110621564,0.01649151997810395,0.3383713423527529,0.3384555642048973,0.33847188963284186,0.33875673355867003,0.33810901519420167,0.33843290898867273,2.0765006252409718E-4,50,10,0.1,5.0E-4,[D@394df057,4815162342
0.8760524942201595,0.8840561740590095,0.8897024057756463,0.875809180629865,0.8869860448438571,0.8825212599057075,0.005670203871237627,0.33023241565257566,0.3290073298201667,0.3299963544927562,0.3303744017755888,0.3287946409226147,0.3296810285327404,6.517327092583338E-4,100,6,0.5,0.001,[D@394df057,4815162342
