cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_fold_4,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_fold_4,cummulativecoverage_avg,cummulativecoverage_std,numIters,numFactors,regularization,learningRate,scores,seed
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,10,0.05,3.0E-4,[D@291caca8,4815162342
0.8299956725119207,0.8302403393557705,0.8298693809197529,0.8297837793597337,0.8300690777259635,0.8299916499746283,1.5875614009716122E-4,0.9351376323198037,0.9352150654315348,0.9350280937252313,0.9348721960764684,0.9345806798097013,0.934966733472548,2.2477322274318267E-4,25,20,0.1,2.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,10,0.05,5.0E-4,[D@291caca8,4815162342
0.8310896525540376,0.8313292370913884,0.831121117770985,0.831066185060999,0.8314405861626836,0.8312093557280187,1.4862818172620013E-4,0.9809057628935378,0.9803086905106365,0.9810548421268231,0.9805895249961789,0.9807741874759238,0.9807266016006201,2.5905393340646847E-4,75,20,0.1,3.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,30,0.1,5.0E-4,[D@291caca8,4815162342
0.8290137489032097,0.8291883666129999,0.828858603330288,0.8287655990541554,0.8293412803999483,0.8290335196601202,2.104577431062894E-4,0.9790062118046723,0.9793903220693992,0.9789738905921803,0.9789745035626981,0.9792507597068953,0.9791191375471691,1.706653618893524E-4,50,30,0.1,3.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,40,0.1,3.0E-4,[D@291caca8,4815162342
0.8276245640219363,0.8276847706119085,0.827501600390318,0.8273332326961396,0.8276220628843309,0.8275532461209266,1.250550840506228E-4,0.9773955539466215,0.9774316855783363,0.977273127753779,0.9779979963516497,0.9772776470487524,0.9774752021358278,2.688543788843436E-4,50,40,0.1,2.0E-4,[D@291caca8,4815162342
0.8314770359606634,0.8318501127471424,0.8313182066520913,0.8313679988309535,0.8316310602775094,0.8315288828936719,1.931761379644202E-4,0.8770658739629081,0.876901916394539,0.8766922417881667,0.8767623686539121,0.8765822139989394,0.8768009229596931,1.6824407807656562E-4,25,10,0.1,2.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,10,0.2,4.0E-4,[D@291caca8,4815162342
0.831267757525313,0.8314502436150966,0.8311717998689586,0.8311099556730146,0.8315450113199205,0.8313089536004605,1.6479960737376986E-4,0.9654380081827775,0.9646722996201478,0.9652172526162106,0.9645666375036513,0.9652067433278021,0.9650201882501179,3.3910040872985823E-4,75,10,0.1,3.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,20,0.05,3.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,30,0.05,5.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,30,0.05,3.0E-4,[D@291caca8,4815162342
0.8307282566184249,0.8310616642941077,0.8306939561448532,0.8306334402065619,0.8308414892172207,0.8307917612962337,1.5098659116760012E-4,0.9307090813059674,0.9308117739183012,0.9309803605245087,0.9306672507286525,0.9304007518105009,0.9307138436575861,1.9017973711663803E-4,75,30,0.2,2.0E-4,[D@291caca8,4815162342
0.8323001045552431,0.8326113171940208,0.8321768324057722,0.832121462283922,0.8323800573410667,0.832317954756005,1.7248866055347923E-4,0.8819224713152581,0.8819621052539239,0.8819322972681102,0.8816557054650218,0.8818815518644438,0.8818708262333516,1.1060718450913882E-4,50,20,0.2,1.0E-4,[D@291caca8,4815162342
0.8287736835974162,0.8290566204828741,0.828826871525726,0.828635550116151,0.8291919472534419,0.8288969345951219,2.0047620272330442E-4,0.9832934680377174,0.9836276718140455,0.9830701383869734,0.9835649765413071,0.9834166793396799,0.9833945868239446,1.9967030065878136E-4,75,40,0.1,2.0E-4,[D@291caca8,4815162342
0.8310427609236506,0.8313289729026381,0.8308623860710118,0.8308159173647762,0.8311709001622279,0.8310441874848609,1.9095542603546489E-4,0.8666435560255388,0.8668562532755097,0.8670667220198117,0.8665760917580972,0.8670103303415968,0.866830590684111,1.941517899065586E-4,25,20,0.2,1.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,40,0.05,3.0E-4,[D@291caca8,4815162342
0.8265752414379761,0.8269488385188946,0.8266038608386036,0.826430172602769,0.8268348415193388,0.8266785909835164,1.8731010401898594E-4,0.966585006685475,0.9662827644791178,0.9660781237215228,0.9663549362821633,0.9664688913868296,0.9663539445110217,1.7189950621959767E-4,25,20,0.05,3.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,20,0.2,4.0E-4,[D@291caca8,4815162342
0.8304169378486521,0.8307198553744103,0.8302670338138781,0.8302892495938052,0.8306013156220231,0.8304588784505537,1.7648491740242085E-4,0.9195496485997,0.9198468179724836,0.9194967351883946,0.9200337138437562,0.9195532156682612,0.9196960262545192,2.0895418662766885E-4,50,10,0.1,2.0E-4,[D@291caca8,4815162342
0.8308062129619506,0.8310406054058411,0.8307120699948631,0.8307258147521237,0.83084225120827,0.8308253908646097,1.180901211737405E-4,0.9413582685579207,0.941518123884287,0.941642142430288,0.9415883977935745,0.9407582107137975,0.9413730286759735,3.2189367087663985E-4,50,40,0.2,1.0E-4,[D@291caca8,4815162342
0.8308998855220064,0.8311352975063709,0.8307103354240941,0.8306342029860808,0.8310569310162266,0.8308873304909558,1.927746846078628E-4,0.9324458778118825,0.9326096535047832,0.9327763627934277,0.9324742773545137,0.9322390336776106,0.9325090410284436,1.7870974841047713E-4,100,30,0.2,2.0E-4,[D@291caca8,4815162342
0.8281832928138151,0.828470047478005,0.8280357931473161,0.8279491388353909,0.8282259940934458,0.8281728532735946,1.7893627577765108E-4,0.9555692123285789,0.9553704554378363,0.9556949016848449,0.9548410920515552,0.9548472932725443,0.9552645909550719,3.5851289270788674E-4,25,40,0.05,1.0E-4,[D@291caca8,4815162342
0.8292746724823146,0.8294773452553077,0.8291400337104657,0.8290191149203157,0.8295674303095852,0.8292957193355978,2.0396363134398795E-4,0.9706925152803756,0.9709303743203397,0.9707197562614397,0.9705665838464472,0.9709378594837992,0.9707694178384803,1.4408433706101638E-4,75,20,0.1,2.0E-4,[D@291caca8,4815162342
0.8292694351851261,0.8295197844886751,0.8291792991861959,0.8290599701688012,0.8294782379221776,0.8293013453901953,1.7503264964974937E-4,0.9493289062881476,0.9493455029022038,0.9490358907649369,0.9491671459278598,0.9485471819059517,0.94908492555782,2.9180815083357107E-4,25,20,0.1,3.0E-4,[D@291caca8,4815162342
0.8297887705577333,0.8298245835547992,0.8298679586053108,0.829397016834307,0.8303224155835596,0.829840149027142,2.941436980292408E-4,0.94365556363555,0.9440562813817175,0.9437205727532882,0.9439824750352099,0.9436780990449765,0.9438185983701484,1.6690007906552127E-4,75,10,0.1,2.0E-4,[D@291caca8,4815162342
0.8310083996081182,0.8313770237593369,0.8308555026653459,0.8308997929234696,0.8311266698778628,0.8310534777668266,1.8702101842513416E-4,0.901938539229261,0.9019995931778949,0.901823105690891,0.9020024147304991,0.9017349915625235,0.9018997288782138,1.0491234624689613E-4,25,10,0.1,3.0E-4,[D@291caca8,4815162342
0.8282725656048683,0.8291247013456532,0.828669947730019,0.8285471555577693,0.8289700144378657,0.828716876935235,3.029256012734325E-4,0.9206065802892027,0.9212626975889394,0.9214882274799455,0.9211310496920657,0.9207516852521553,0.9210480480604618,3.25406305860642E-4,25,20,0.05,1.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,40,0.1,4.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,30,0.05,2.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,20,0.05,2.0E-4,[D@291caca8,4815162342
