cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_fold_4,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_fold_4,cummulativecoverage_avg,cummulativecoverage_std,numIters,numFactors,gamma,lambda,seed
0.8067349815837139,0.8138331843467312,0.8055340166611934,0.8089290147587952,0.8069794382878627,0.8084021271276592,0.002925866317524008,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,2,0.05,1.0E-4,4815162342
0.7967770239685171,0.7960521735893014,0.7930466097243297,0.7981183950656808,0.7919540538493587,0.7951896512394375,0.0023196100875345015,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,4,0.05,1.0E-4,4815162342
0.7852607321023379,0.7870265226453321,0.7876147273402402,0.7877279542460373,0.7764850706074036,0.7848230013882702,0.004261471311921198,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,6,0.05,1.0E-4,4815162342
0.7674634731308188,0.7814577388020417,0.7752008529554427,0.7778580491587619,0.7712451768490668,0.7746450581792265,0.004902635882930922,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,8,0.05,1.0E-4,4815162342
0.7681633611050795,0.7686293448424829,0.7616913983654859,0.7675025033856572,0.7684513734621363,0.7668875962321684,0.0026262233924241743,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,10,0.05,1.0E-4,4815162342
0.8010426391778707,0.8076984360156548,0.7992471791041044,0.8054062115575789,0.8027508689625396,0.8032290669635497,0.0030192644475959063,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,2,0.05,1.0E-4,4815162342
0.7911905772928438,0.7905257062907974,0.7854647303347077,0.7906742720458185,0.785023042206661,0.7885756656341656,0.0027328967075726587,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,4,0.05,1.0E-4,4815162342
0.7724314094141862,0.775802943573097,0.7779761299237336,0.7759922237290767,0.7650334337267349,0.7734472280733656,0.004568614083707675,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,6,0.05,1.0E-4,4815162342
0.7550464537367311,0.7680609699823885,0.7632013854904545,0.7647210803829881,0.7580957641286324,0.7618251307442389,0.004669580918378307,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,8,0.05,1.0E-4,4815162342
0.7548888821266927,0.7581690844877756,0.7518728670160415,0.7548168005135568,0.753996631753596,0.7547488531795326,0.0020277741804431803,1.0,1.0,1.0,1.0,1.0,1.0,0.0,50,10,0.05,1.0E-4,4815162342
0.7971175787283143,0.8040196861833729,0.7949616649320647,0.8012005211389304,0.7995439240471811,0.7993686750059726,0.0031466633024965548,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,2,0.05,1.0E-4,4815162342
0.7872510770228717,0.7857070744122643,0.7808354221422306,0.7858493296100049,0.7816132002274642,0.784251220682967,0.0025416306528841565,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,4,0.05,1.0E-4,4815162342
0.7639966434681339,0.7696885411725375,0.7714080033448946,0.7682977917566682,0.7568184850737267,0.7660418929631921,0.005223725906864406,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,6,0.05,1.0E-4,4815162342
0.7472046215902123,0.7610106422584573,0.7570736939391974,0.756857140170139,0.7497601068559251,0.7543812409627862,0.005102687282336627,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,8,0.05,1.0E-4,4815162342
0.7461911440049896,0.7507259463549282,0.7463438150935815,0.7463199984825151,0.7456818518151782,0.7470525511502385,0.0018522209088471082,1.0,1.0,1.0,1.0,1.0,1.0,0.0,75,10,0.05,1.0E-4,4815162342
0.7695227827846307,0.7698700306014677,0.7629701337841137,0.7686749762686701,0.7697004059870287,0.7681476658851822,0.002621197566955433,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,10,0.05,0.001,4815162342
0.7686457507238732,0.7821504172328072,0.7760719560748593,0.778749716644115,0.77226924474646,0.775577417084423,0.004743508975680006,1.0,1.0,1.0,1.0,1.0,1.0,0.0,25,8,0.05,0.001,4815162342
