cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_fold_4,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_fold_4,cummulativecoverage_avg,cummulativecoverage_std,numIters,numFactors,learningRate,regularization,ratings,seed
0.8051568129049715,0.8039020902221874,0.8065235789218212,0.8020676123640279,0.8055363993123306,0.8046372987450677,0.001534936439506447,0.7157424209101391,0.713853436713951,0.7131560355985227,0.7117039322916932,0.7067808290874293,0.7122473309203471,0.0030265127922427925,75,6,0.01,0.1,[D@3a4afd8d,4815162342
0.7959905116564394,0.7954305633480782,0.798970493800141,0.8015084460720517,0.800932278645516,0.7985664587044453,0.002485356348835818,0.7386221763754621,0.7346946808028333,0.7315724923344851,0.7311416157968113,0.7360448257288963,0.7344151582076976,0.002801063375125269,75,8,0.01,0.1,[D@3a4afd8d,4815162342
0.7954354875774485,0.7913449167010862,0.7975890563586481,0.7955586679996385,0.7956739285382477,0.7951204114350139,0.0020467677552883693,0.7518217852863963,0.7509385870509488,0.7494385215793168,0.7460788813904364,0.743456064342321,0.7483467679298839,0.003132011780074837,75,10,0.01,0.1,[D@3a4afd8d,4815162342
0.8167806369750517,0.8151416192439526,0.8151029934999441,0.812681016882426,0.8167338740724612,0.815288028134767,0.0014946927894968227,0.6642309330593057,0.6612826839744265,0.6598093940491454,0.6607928840043839,0.6565982066473908,0.6605428203469303,0.0024621127826374334,50,6,0.01,0.1,[D@3a4afd8d,4815162342
0.8106012059151039,0.8072866553527325,0.8085577825244026,0.8133648775395241,0.8138092545719374,0.8107239551807401,0.0025696670875951164,0.6815529266573174,0.6767667532369501,0.6763320837128477,0.6768140149073437,0.6810116451295406,0.6784954847287998,0.002288019737489879,50,8,0.01,0.1,[D@3a4afd8d,4815162342
0.8237328505801694,0.8255792922107363,0.823951372316181,0.8244572979442631,0.8284568568390513,0.8252355339780802,0.0017325051566857701,0.6330601642298423,0.6322420865788658,0.6295899034999889,0.6305758595965358,0.6327205705310787,0.6316377168872622,0.0013328369559277309,75,2,0.01,0.1,[D@3a4afd8d,4815162342
0.8058619446157886,0.8041377966940328,0.8090671698049494,0.8059231271293471,0.8069312966550881,0.8063842669798411,0.0016142681557472056,0.6977376510889334,0.697798152061054,0.6926438330781081,0.6911153926429054,0.6880494728831158,0.6934689003508233,0.003809319672805836,50,10,0.01,0.1,[D@3a4afd8d,4815162342
0.8114197416478101,0.8147480624103908,0.8140082383682814,0.8154456922943203,0.8133780062791126,0.8137999481999829,0.0013779838308070097,0.6839724761093353,0.682225860708294,0.6789732986986552,0.6776367825695047,0.675553660352575,0.679672415687673,0.0030531070524891933,75,4,0.01,0.1,[D@3a4afd8d,4815162342
0.7897382684103395,0.790082950695663,0.7950754532154867,0.7893066892918635,0.7946342243404155,0.7917675171907537,0.0025366016424657367,0.7739490695561319,0.7692068107223765,0.7694861444810297,0.7657604274502252,0.7607162430453583,0.7678237390510243,0.004403859831810254,75,6,0.02,0.1,[D@3a4afd8d,4815162342
0.7856540427527245,0.7868196164212962,0.7914516084043172,0.7849367669060836,0.7900781860685194,0.7877880441105882,0.002541182764125471,0.7881434832866592,0.7888153480902286,0.7837486183540734,0.7851845271841975,0.7868513601008459,0.7865486674032008,0.0018694413669813306,75,8,0.02,0.1,[D@3a4afd8d,4815162342
